index	iid	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	Group Label	Version ID	Master ID	Publication	Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990Â¬Â±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Locality	Country	Lat.	Long.	Data source	Coverage on autosomal targets	SNPs hit on autosomal targets	Sex	Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)	ASSESSMENT	"ASSESSMENT REASONING (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is ""QUESTIONABLE""; <0.9 is ""QUESTIONABLE_CRITICAL"", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is ""QUESTIONABLE_CRITICAL/FAIL"" if <0.01, ""QUESTIONABLE"" for 0.01-0.03, and recorded but passed if 0.03-0.05; libraries with fully-treated last base are ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if <0.03, ""QUESTIONABLE"" if 0.03-0.06, and recorded but passed if 0.06-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))"	Skeletal code	Skeletal element	Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing: GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]	Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020)	Date BP	Date BP (SE)	Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Age at Death Estimate	Group ID	No. Libraries	SNPs	Mean length of shotgun sequences (merged data)	Family ID and position within family	Y haplogroup	Y haplogroup (manual curation in terminal mutation format)	Y haplogroup (manual curation in ISOGG format)	mtDNA coverage (merged data)	mtDNA haplogroup	mtDNA match to consensus if ≥2 coverage (merged data)	Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data)	Sex ratio [Y/(Y+X) counts] (merged data)	Xcontam ANGSD SNPs (only if male)	Xcontam ANGSD MOM point estimate (only if male and ≥200)	Xcontam ANGSD MOM Z-score (only if male and ≥200)	Xcontam ANGSD MOM 95% CI truncated at 0 (only if male and ≥200)	contamLD est	contamLD s.e.	contamLD warning	contamLD s.e..1	LibraryID(s)	"ASSESSMENT REASONING (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is ""QUESTIONABLE""; <0.9 is ""QUESTIONABLE_CRITICAL"", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is ""QUESTIONABLE_CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))"	Steppe	WHG	Farmer	Steppe(SE)	WHG(SE)	Farmer(SE)
1	Adg-185	-0.011	-0.0511	-0.0155	-0.0134	-0.0067	-0.0107	0.0087	0.0034	-0.0047	-0.0004	Adygei	Adg-185	Adg-185	JeongNatureEcologyEvolution2019	..	Adyghei Republic, Shovgenovsky district, Mamkheg village	Russia	45	40.22	Balanovsky	..	584492	F	..	PASS	genotyping	..	..	..	..	0	0	..	..	Adygei	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
2	Adg-192	-0.0068	-0.0517	-0.0107	-0.0124	-0.005	-0.0042	0.0034	0.0032	-0.0065	0.0037	Adygei	Adg-192	Adg-192	JeongNatureEcologyEvolution2019	..	Adyghei Republic, Shovgenovsky district, Mamkheg village	Russia	45	40.22	Balanovsky	..	584509	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Adygei	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
3	Adg-194	-0.007	-0.0496	-0.0054	-0.0061	-0.0043	-0.0165	0.005	0.0055	-0.0062	-0.0011	Adygei	Adg-194	Adg-194	JeongNatureEcologyEvolution2019	..	Adyghei Republic, Shovgenovsky district, Mamkheg village	Russia	45	40.22	Balanovsky	..	584799	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Adygei	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
4	Adg-222	-0.0024	-0.0394	-0.0094	-0.0095	-0.0037	-0.0081	0.0104	0.0002	-0.0064	0.0048	Adygei	Adg-222	Adg-222	JeongNatureEcologyEvolution2019	..	Adyghei Republic, Shovgenovsky district	Russia	45.01	40.22	Balanovsky	..	584280	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Adygei	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
5	Adg-224	-0.009	-0.0512	-0.0174	-0.0045	-0.008	-0.009	0.0137	0.0027	-0.0079	0.0018	Adygei	Adg-224	Adg-224	JeongNatureEcologyEvolution2019	..	Adyghei Republic, Shovgenovsky district	Russia	45.01	40.22	Balanovsky	..	583981	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Adygei	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
6	Adg-226	-0.0148	-0.0553	-0.0202	-0.0119	-0.0046	-0.0086	0.0066	0.0027	-0.0039	-0.0003	Adygei	Adg-226	Adg-226	JeongNatureEcologyEvolution2019	..	Adyghei Republic, Shovgenovsky district	Russia	45.01	40.22	Balanovsky	..	584741	F	..	PASS	genotyping	..	..	..	..	0	0	..	..	Adygei	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
7	Adg-227	-0.0131	-0.0548	-0.022	-0.0047	-0.0064	-0.0111	0.0041	-0.0012	-0.0145	0.0043	Adygei	Adg-227	Adg-227	JeongNatureEcologyEvolution2019	..	Adyghei Republic, Shovgenovsky district, Mamkheg village	Russia	45	40.22	Balanovsky	..	584780	F	..	PASS	genotyping	..	..	..	..	0	0	..	..	Adygei	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
8	Adg-238	-0.007	-0.0521	-0.013	-0.0022	-0.005	-0.0086	0.006	0.0047	-0.0032	0.0004	Adygei	Adg-238	Adg-238	JeongNatureEcologyEvolution2019	..	Adyghei Republic	Russia	45	38.75	Balanovsky	..	584818	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Adygei	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
9	GEO-002	-0.0236	-0.0325	-0.0416	-0.0067	-0.0069	-0.0091	0.0079	0.0088	-0.0189	-0.0006	Georgian	GEO-002	GEO-002	JeongNatureEcologyEvolution2019	..	Turkey	Turkey	40.93	40.84	Balanovsky	..	568567	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Georgian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
10	GEO-005	-0.0191	-0.0351	-0.0177	-0.013	-0.0116	-0.0089	0.0109	0.0047	-0.0057	-0.0021	Georgian	GEO-005	GEO-005	JeongNatureEcologyEvolution2019	..	Turkey	Turkey	40.93	40.84	Balanovsky	..	584821	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Georgian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
11	GEO-010	-0.0242	-0.0324	-0.037	-0.0136	-0.0101	-0.0031	0.0045	0.0058	-0.0093	-0.0045	Georgian	GEO-010	GEO-010	JeongNatureEcologyEvolution2019	..	Turkey	Turkey	40.93	40.84	Balanovsky	..	584592	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Georgian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
12	GEO-015	-0.0232	-0.0375	-0.0242	-0.0149	-0.0075	-0.0068	0.0105	0.0059	-0.0025	-0.0089	Georgian	GEO-015	GEO-015	JeongNatureEcologyEvolution2019	..	Georgia	Georgia	42.25	42.7	Balanovsky	..	584927	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Georgian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
13	GEO-020	-0.0229	-0.0333	-0.0406	-0.016	-0.0088	-0.0095	0.0098	0.0072	-0.006	-0.0032	Georgian	GEO-020	GEO-020	JeongNatureEcologyEvolution2019	..	Georgia	Georgia	42.25	42.7	Balanovsky	..	584175	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Georgian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
14	GEO-028	-0.0188	-0.0437	-0.035	-0.0127	-0.0095	-0.0094	0.0052	0.0076	-0.0102	0.0093	Georgian	GEO-028	GEO-028	JeongNatureEcologyEvolution2019	..	Georgia	Georgia	42.25	42.7	Balanovsky	..	584398	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Georgian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
15	GEO-031	-0.0221	-0.0394	-0.0359	-0.0167	-0.0125	-0.0051	0.0079	0.0012	-0.0112	-0.0024	Georgian	GEO-031	GEO-031	JeongNatureEcologyEvolution2019	..	Georgia	Georgia	42.25	42.7	Balanovsky	..	584967	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Georgian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
16	GEO-032	-0.0224	-0.0387	-0.0388	-0.0098	-0.0095	-0.0052	0.0077	0.0051	-0.0059	-0.0035	Georgian	GEO-032	GEO-032	JeongNatureEcologyEvolution2019	..	Georgia	Georgia	42.25	42.7	Balanovsky	..	584223	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Georgian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
17	GEO-039	-0.021	-0.0475	-0.0354	-0.0144	-0.0089	-0.0068	0.0055	0.0015	-0.0068	-0.0019	Georgian	GEO-039	GEO-039	JeongNatureEcologyEvolution2019	..	Georgia	Georgia	42.25	42.7	Balanovsky	..	584115	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Georgian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
18	GEO-051	-0.021	-0.0426	-0.0401	-0.0152	-0.0069	-0.0129	0.0074	0.0071	-0.0124	0.001	Georgian	GEO-051	GEO-051	JeongNatureEcologyEvolution2019	..	Turkey	Turkey	40.93	40.84	Balanovsky	..	583004	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Georgian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
19	GEO-061	-0.0227	-0.0489	-0.0311	-0.0143	-0.0076	-0.0131	0.0086	0.0012	-0.007	-0.0003	Georgian	GEO-061	GEO-061	JeongNatureEcologyEvolution2019	..	Turkey	Turkey	40.93	40.84	Balanovsky	..	582872	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Georgian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
20	GEO-082	-0.0221	-0.0483	-0.0321	-0.0124	-0.0066	-0.011	0.0043	0.0076	-0.0142	0.0007	Georgian	GEO-082	GEO-082	JeongNatureEcologyEvolution2019	..	Turkey	Turkey	40.93	40.84	Balanovsky	..	582802	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Georgian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
